               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025396,           0.0059504,                   0,             0.93835,             0.93197,             0.94589,             0.48459,            0.034773,           0.0046845,                   0,             0.00011,             0.00011,             0.09901
                   1,            0.025451,           0.0057131,                   0,              0.9452,             0.93873,             0.96211,             0.50132,            0.033896,            0.004619,                   0,          0.00022873,          0.00022873,            0.097929
                   2,            0.025785,           0.0055745,                   0,             0.93731,             0.91837,             0.94189,             0.50725,             0.03356,           0.0045992,                   0,          0.00034229,          0.00034229,            0.096842
                   3,            0.025357,           0.0057068,                   0,             0.94305,             0.91156,             0.93355,             0.52736,            0.032504,            0.004568,                   0,          0.00044695,          0.00044695,            0.095747
                   4,            0.025928,           0.0055257,                   0,             0.94435,             0.92517,             0.94016,             0.51647,            0.033743,           0.0045916,                   0,          0.00053929,          0.00053929,            0.094639
                   5,            0.025267,           0.0054293,                   0,             0.95118,             0.93197,             0.96004,             0.50757,            0.033414,            0.004599,                   0,          0.00061642,          0.00061642,            0.093516
                   6,            0.025171,           0.0055805,                   0,             0.93876,             0.93878,             0.95687,             0.50207,            0.033684,           0.0045915,                   0,          0.00067604,          0.00067604,            0.092376
                   7,            0.025358,           0.0054635,                   0,              0.9178,             0.91148,             0.92797,             0.50998,            0.033059,           0.0046111,                   0,          0.00071658,          0.00071658,            0.091217
                   8,            0.023798,           0.0054997,                   0,             0.93808,             0.93197,             0.93914,             0.51222,            0.033365,           0.0046522,                   0,          0.00073729,          0.00073729,            0.090037
                   9,            0.024092,           0.0053732,                   0,             0.93197,             0.93197,             0.94371,             0.50561,            0.033723,           0.0046244,                   0,          0.00073827,          0.00073827,            0.088838
                  10,            0.023981,           0.0052822,                   0,             0.93102,             0.91813,             0.93554,             0.52199,            0.033556,           0.0045813,                   0,           0.0007205,           0.0007205,            0.087621
                  11,            0.024494,           0.0053954,                   0,             0.93092,             0.91837,             0.93606,             0.52813,            0.032686,           0.0045709,                   0,          0.00068583,          0.00068583,            0.086386
                  12,            0.022797,           0.0052316,                   0,             0.94444,             0.92514,             0.94139,             0.52671,            0.032218,           0.0045821,                   0,          0.00063696,          0.00063696,            0.085137
                  13,            0.023927,           0.0056688,                   0,             0.91945,             0.93197,             0.93289,             0.52313,            0.032508,           0.0045832,                   0,          0.00057733,          0.00057733,            0.083877
                  14,             0.02287,           0.0052559,                   0,             0.93704,             0.91156,              0.9274,             0.52324,            0.032342,           0.0046269,                   0,          0.00051104,          0.00051104,            0.082611
                  15,            0.022367,           0.0051116,                   0,             0.93793,             0.92514,              0.9231,              0.5226,            0.031949,            0.004633,                   0,          0.00044274,          0.00044274,            0.081343
                  16,            0.023028,           0.0053423,                   0,             0.92568,             0.93197,             0.92169,             0.51582,            0.033665,           0.0045989,                   0,          0.00037746,          0.00037746,            0.080077
                  17,             0.02265,           0.0052058,                   0,             0.93793,             0.92513,             0.92863,             0.52824,             0.03158,           0.0045851,                   0,          0.00032045,          0.00032045,             0.07882
                  18,            0.022788,           0.0052952,                   0,             0.93791,             0.92517,              0.9291,             0.51643,             0.03275,           0.0045806,                   0,            0.000277,            0.000277,            0.077577
                  19,            0.021891,           0.0052547,                   0,             0.92464,             0.91837,             0.92261,             0.53209,            0.032178,           0.0045786,                   0,          0.00025224,          0.00025224,            0.076352
